,,,,,,,,,,,,,,,,,,,,,,
【#武汉在院新冠肺炎患者清零#】国家卫生健康委新闻发言人、宣传司副司长米锋表示，刚刚得到最新消息，经过武汉和全国援鄂医务人员的共同努力，4月26日，武汉在院新冠肺炎患者清零。,2021/4/26 15:09,"评论
3024",疫情给我滚蛋！,感谢全体医护人员，致敬伟大武汉，最后给予所有湖北人员尊重,啥时候开学啊我最关心这个,真好，加油加油,啊啊啊激动 希望高校也能开学,武汉高校冲冲冲啊啊啊啊啊,希望高校这学期可以开学,太棒了,这个真是服气，中国必胜,要不要考虑一下武汉高校开学呢@湖北教育厅,感谢 终于清零了！！！赶快推进武汉大学生复学吧 在家快抑郁了,好的知道了 武汉高校复学尽快安排一下吧！在家呆晕了要？！！！！,@武汉教育 @青春湖北 高校开学还不提上日程？,真的是热烈祝贺，大学生能安排开学了不,武汉其他年级也快点公布开学时间啊！！！,高校复学也尽快安排上吧 呜呜,武汉无症状感染者真的不少，目前都在指定康复中心，医学隔离观察,快开学吧 孩子在家要自闭了,求求快开学！！！（仅代表个人观点勿杠）,
,,,,,,,,,,,,,,,,,,,,,,
【人民直播：#国务院联防联控机制发布会#】国务院联防联控机制15时召开新闻发布会，介绍#加强医疗防控物资出口质量监管#工作情况，商务部、海关总署、市场监管总局、药监局有关司局负责人回答媒体提问。@人民日报 现场直播，一起关注！ 人民日报的微博视频 .,2021/4/26 15:01,"评论
124",加强监督！共同关注！,正在看,关注起来～,加强质量监管，辛苦了,一定要严防，尤其广州黑人,辛苦啦继续加强监控防护[加油],确实要做好长远打算！,辛苦了,加强监管，关注关注[加油],关注关注！,加强防控！！不放松！！,辛苦了,来了来了,辛苦了,辛苦啦！！！防疫加油大家！！！,小黄车的押金遥遥无期……好无语，资本家就是这样欺负我们这些消费者吗？,关注关注～,敢造假者，杀！敢发国难财者，杀！战疫就是战争，你敢给战士提供假冒伪劣武器，难道不改杀？,抗击疫情我们一定赢。,
,,,,,,,,,,,,,,,,,,,,,,
【美！#北京中山公园郁金香烂漫盛开#】本周末，北京中山公园郁金香全部盛开，各色花朵争奇斗艳，仿佛在景区内搭起一条“花路”。最美人间四月天，提醒：出游、赏花请勿扎堆聚集↓↓转给没出门的小伙伴，抓住春天的尾巴，一起云赏花！,2021/4/26 14:41,"评论
1378",@魏晨 你昨天是去中山公园了么,熟悉到我甚至怀疑是你拍的图哈哈哈@魏晨,@魏晨 哥你看看,魏晨 看到的第一眼 我以为是@魏晨 又发新图了。原来你昨天去了中山公园！,@魏晨 你是不是来过这儿？,@魏晨 哥来看看 一模一样,也不知道为什么就是想@魏晨,好熟悉，某人微博好像看到了@魏晨,蛮眼熟的吼？@魏晨,哥，你也可以去这个公园@魏晨,@魏晨 哥，昨天是去中山公园了吗,所以魏晨你回北京了么,@魏晨 哥，你昨天是去这了吧,好眼熟啊，@魏晨 晨哥你来的这,@魏晨 中年人的生活就是逛逛公园，拍拍花，看看景。哥，这儿熟悉吗魏晨,@魏晨 你看，像不像你手机里的那一抹粉,我说怎么这么眼熟，昨天在@魏晨 这看过,春暖花开！赏花啦——！一切都会好起来！祝每个人都越来越好！一起加油！,嗯……似曾相识@魏晨,哥@魏晨 你的轨迹暴露了
,,,,,,,,,,,,,,,,,,,,,,
【等你归来！#上海39所高校发布返校海报#】#明天起上海各高校分批次返校#。告别时，寒冬暮雪；再见时，初夏芳菲。校园的花开好了，宿舍的被子帮大家晒了，食堂的菜谱已精心搭配…各大高校已做好准备，迎接同学们返校。戳图↓↓围观上海高校的返校海报 等你归来！沪上39所高校发布返校海报,2021/4/26 13:44,"评论
3522",并不想……,九月九日忆山东兄弟,又不公布开学时间 小道消息都是非毕业年级不返校,返校也是在寝室上网课 请问有什么意义 我建议出一个自愿返校,上海高校学生表示，那非毕业年纪您好歹有个准信啊，我们学校毕业年级都没说返校，搞这些花里胡哨的东西有什么意义,返校海报不等于返校,北京你看看人家 看看你,为何没有北京，湖北，黑龙江高校开学时间,这海报暗藏玄关的,现在还有不想开学的同学嘛,骗子！！！根本不给开学的！！！,见到老师同学太好了！恭喜开学！,多数学校非毕业年级并不返校…,哇 学校倒是把海报做出来了，但是老师全部都建议不返校呢 回来隔离到疫情结束 强行劝退。当面一套背面一套,湖南还没动静,个别高校一刀切，强制校外住宿的学生回校居住，让因病外宿的学生怎么办？然而教职工和走读生都可以自由进出，迷惑？？？所以这样把外宿学生一刀切逼回来的意义是什么？,那个…退退学费住宿费行吗,要开学了，你们肯定很开心吧,实名羡慕！ 我们也不知道啥时候能开学！,已经开学的举个手！！！
,,,,,,,,,,,,,,,,,,,,,,
【转发提醒！#考研复试网上咨询今日开启#】4月26日至30日，教育部将在“中国研究生招生信息网”组织“2020年研考招生复试网上咨询”，各招生单位将在线为考生答疑解惑。教育部网上调剂系统预计于5月20日左右开通。考研小伙伴，戳链接咨询→网页链接 ，加油！#考研复试网上咨询开始#,2021/4/26 13:05,"评论
1113",问等于白问，也说不出来个所以然,加油吧 点赞的都上岸,问再多，回复的也是套话,别问，问就是等学校官网公告这咨询把我整懵了,问有个屁用，全是官话套话，出这么个咨询活动到底有什么意义？玩20考生呢？,加油 祝福大家都上岸,净搞些形式主义来虚的，问就是继续关注学校官网，什么实质性东西都问不出来。人民日报你怎么还好意思发？,没啥用，全都是等官网消息。,学校不应该预见到学生会问什么问题吗？不如提前发个公告全说了，省得大家重复问，回复还都是一样的东西，等！,咨询个寂寞吗,国面呢？能不能看看我们？？？,问了好几个问题，一个答复都没有,形式主义看了某大学的回复，不管问什么问题，答案全部都是关注官网,没有准确的线，没有名单，没有明确的招生计划，扩招内定，复试没有明确的方式，复试内容未定，问了就答近期留意官网，我问个空气？悬着20考生快半年，工作也不敢签，二战也不能准备，真的平地生草。一年完蛋。,“请咨询相关院系”是最多的回复,咱初试都没过太辛酸了,一边痛斥形式主义，一边又玩的6的不行。,都咨询完了，宁这才反应过来？？？,考研的伙伴都加油！必上岸！,加油！祝大家都上岸[加油][加油][加油]
,,,,,,,,,,,,,,,,,,,,,,
【国家市场监督管理总局：#全国查获问题口罩超8904万只#】国务院新闻办公室今日上午10时举行新闻发布会，全国打击侵权假冒工作领导小组办公室主任、国家市场监督管理总局副局长甘霖介绍，新冠肺炎疫情发生以来，口罩、额温枪等防护用品一度是紧俏，一些不法分子借机制售假冒伪劣防护产品，包括熔喷布等原材料，损害人民群众的合法权益，同时也扰乱了市场秩序，甚至影响社会稳定。截至4月24日，全国市场监管部门共出动执法人员1192.7万人次，检查经营户是1589.5万户，查获问题口罩8904.6万只，查获其他问题的防护用品41.8万件，查获问题消杀用品的货值是760.9万元，累计查办非法制售口罩等防护用品案件是29906起，其中立案查处案件26605起，罚没款3.5亿元，案值3.1亿元，移送公安机关案件757起。网页链接,2021/4/26 11:57,"评论
600",必须严惩赚国难财的不法分子！,不要昧了良心,损害人民利益，虽远必诛！,赚黑心钱要不得,要么不做，要做就做合格的。假冒伪劣利润高，但是会打脸中国制造。,发国难财的就地正法,伪劣产品不能忍，害人的要严惩！,打假！打击伪劣产品！大企业的品牌口罩提效降价，让老百姓都能用上物美价廉的放心口罩！,挣昧良心的钱一定会遭到报应。,这种赚黑心钱的多罚点,假口罩危害公共安全，建议死刑,口罩到现在的价格还是很高还望重视一下,假口罩危害公共安全，建议严防，重罚,发这种财不仅败德还违法，可耻可恨！,这个时候做这种事，黑心,口罩到现在的价格还是很高还望重视一下,赚黑心钱,黑心商贩，必须严惩,假口罩危害公共安全，黑心,必须严惩！！！
,,,,,,,,,,,,,,,,,,,,,,
【@ 全国大学生！#超20个省份明确高校开学时间#】今天，又有一地明确高校开学时间：#重庆高校5月11日起开学#。截至目前，四川、吉林、安徽、内蒙古、上海等超过20个省份明确高校开学时间，#最新高校开学时间汇总#↓↓转发周知，持续更新中！,2021/4/26 11:28,"评论
17550",山东进入决赛圈！,其实我不想开学,黑辽京冀鲁湘鄂闽，八强赛,拒绝一刀切 请浙江再考虑一下自愿返校吧,山东，你听见我的呼唤了吗？,特么的湖南呢？,福建呢,辽宁别想了我们已经通知5月21日线上结课考试,想要自愿返校呜呜 要不一直到下个学年新学期 几个月来回三趟 机票钱一次1000+ 真的伤不起,哦，还是没有河北,山东,山东挺到了最后哈哈哈哈,等山东,北京教育部门的领导哑巴了,湖南还在等什么呢,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【白衣天使，一路走好！#45岁护士离世捐献遗体#】4月23日，45岁的常熟市中医院护士徐美红不幸离世，她从事护理工作已25年。去年9月，徐美红被查出肠癌，她的儿子当时刚进大学，她选择保密，默默接受着化疗。直到寒假，她儿子才得知真相。根据徐美红的遗愿，家属捐献了她的遗体，用于医学研究。蟹视频的秒拍视频,2021/4/26 10:30,"评论
1346",一路走好,一路走好,致敬，缅怀英雄,致敬白衣天使,一路走好,致敬平凡的英雄 您一路走好,一路走好,致敬平凡的英雄 天堂一定要开心呀,致敬！一路走好,一路走好,谢谢！一路走好，愿天堂没有痛苦,一路走好，愿在天堂无灾无难,一路走好,一路走好,一路走好,一路走好,一路走好,天使，一路走好,致敬英雄，一路走好！,白衣天使，一路走好！
,,,,,,,,,,,,,,,,,,,,,,
【#重庆高校开学时间#：#重庆高校5月11日起开学#】重庆高校2020年春季学期实行错峰错时分批次有序开学复课。5月11日起，按照“一校一策”原则，达到条件的高校可安排毕业年级（含高职和本、硕、博）、医学专业、医学类院校和有科研任务的师生第一批开学复课，其余批次有关年级开学复课时间由各高校统筹安排。（蒋云龙）,2021/4/26 9:49,"评论
11527",25号私下通知湖北学生27日必须返校 除了重庆真的没有这样的骚操作了,主要我也不是怕开学 是怕开学考试,套用朋友的话：我不想冒着感染的风险去寝室上网课。没什么意义 开学再隔离 到期末考也就一个月的时间 再怎么样有些专业的实验也没法补，就算补也会形成很大的学业压力 既然要封闭管理，那为什么不早开学，反正都隔离起来 现在国内疫情差不多都快过去了又这样子严格。看看其他学校直接公布本学期不开学,真的只有我不希望开学吗在家挺好的,在？解释一下偷偷口头通知湖北学生提前返校隔离的事？,湖北的同学要去提前隔离14天,所以湖北的还要提前去吗？,帮湖南的学生蹲一个湖南开学时间,4.27湖北的先返校有解释吗,让湖北先过来隔离，是因为现在重庆的无症状感染都是湖北过来的，让你们隔离也是为了大家好，如果觉得委屈你们也可以申请不来，或者让我们本地的替你们隔离你们就在家就好了,请大家品一品重庆高校25号半夜给湖北学生打电话要求两天内强制返校 不返就处分 以后回去的自费 让学生在宿舍自我隔离14天！！ 不能出寝室门！不是谣言！,关注一下湖北学生吧！重庆各个高校辅导员私下联系湖北学生要求27或29返校，隔离14天，两天之内要求我们提着行李戴着口罩被隔离，现在文件也不提我们是想怎样？,湖北同学呢,不是反对隔离14天 主要是25通知27就必须到校 时间太仓促 要准备东西和买车票 也没有任何文件 都是辅导员自己打电话说的 也没有任何具体流程（我不是湖北的 就是觉得很不合理）,解释一下湖北籍学生什么情况吧,所以湖北学生突然被要求4月27号返校是什么情况,我不想开学，去了学校封闭式管理还不如在家,啊啊啊啊啊啊我终于有生活费了！！！,,
,,,,,,,,,,,,,,,,,,,,,,
【#湖北五一假期倡导无预约不出门#】据@武汉发布 ，24日，湖北召开会议发布《湖北省“五一”假日出游提示》，倡导“无预约不出游”理念。截至24日，#湖北已开放的266家景区将分时段预约#。“五一”期间，全省12家5A级景区将全部有序开放。,2021/4/26 8:53,"评论
1549",还是不出门最安全了,还是在家做好防护吧，没有什么特殊情况，尽量不要出门,我准备家里云游！,我们公司已经不让离开市区了。最近也还有零散病例爆出来，尽量别添乱，再忍忍吧……,你们过五一放假！我过五一劳动！,不戴口罩不出门[加油],五一还是在床上安全,好美的景色，,不出门在家呆着,最好别出远门，就在附近走走就可以了,好的好的，准备家里蹲了,景点都好美，但是还是要先做好防护，保证安全，等好了大家一起出去游玩,建议大家还是再忍忍吧，我是不会出去玩了，一是因为没钱，二是因为学校不放假,真美，可惜只能在家待着,其实景区如果都搞个预约系统挺好的，高峰期人群扎堆，旅游体验也差，景区承载不来。不只是疫情期间，以后也可以用啊。,在家做好防护，,旅游的地方今年你不去明年后年以后都可以去，特殊时候还是在家待着吧,早啊早睡来了啊,老老实实家里待着好了,
,,,,,,,,,,,,,,,,,,,,,,
"【#31省区市新增确诊11例#，#昨日新增6例本土病例#】4月25日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例，其中5例为境外输入病例，6例为本土病例（黑龙江5例，广东1例）；无新增死亡病例；无新增疑似病例。
当日新增治愈出院病例48例，解除医学观察的密切接触者779人，重症病例增加2例。
境外输入现有确诊病例694例（含重症病例22例），现有疑似病例10例。累计确诊病例1634例，累计治愈出院病例940例，无死亡病例。
截至4月25日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例801例（其中重症病例51例），累计治愈出院病例77394例，累计死亡病例4632例，累计报告确诊病例82827例，现有疑似病例12例。累计追踪到密切接触者729885人，尚在医学观察的密切接触者8308人。
湖北无新增确诊病例，新增治愈出院病例11例（武汉11例），无新增死亡病例，现有确诊病例12例（武汉12例），无重症病例。累计治愈出院病例63604例（武汉46452例），累计死亡病例4512例（武汉3869例），累计确诊病例68128例（武汉50333例）。无新增疑似病例，无现有疑似病例。
31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者30例，其中境外输入无症状感染者7例；当日转为确诊病例4例（无境外输入）；当日解除医学观察9例（境外输入6例）；尚在医学观察无症状感染者1000例（境外输入151例）。
累计收到港澳台地区通报确诊病例1511例。其中，香港特别行政区1037例（出院753例，死亡4例），澳门特别行政区45例（出院28例），台湾地区429例（出院275例，死亡6例）。",2021/4/26 8:16,"评论
781",黑龙江广东本土天天有，而广东的全是黑人,一南一北，本土新增，啥时候是个头啊,广东这是每天一例。。坚持陪我们黑龙江打加时。。。,武汉马上清零，又一个里程碑！,别武汉加油了，黑龙江加油吧，1传80，我特么服,加油，再坚持一下，我们能赢！,我就纳闷了，求大神解答：武汉每天那么多无症状病例，怎么就没有一例转确诊的呢？为什么？,强烈建议五一假期暂停跨省游，防止病毒跨省传播，或者暂时关闭持续出现本土病例的黑龙江省和广东省旅游景点。,打好输入本土双防控攻坚战！[加油],广东每天都一例你们信么。。。这可是传染病,广东一直在线,黑龙江广东难兄难弟日常,: 假记者闯葬礼活该被打，，，,黑龙江和广东挺住啊,加油，愿一切早日过去,就黑龙江那个管控能力，严重怀疑所谓超长潜伏期的境外输入病例是在集中隔离点被传染的。,广东数字有点稳...,武汉马上清零，又一个里程碑！,黑龙江日常新增,
,,,,,,,,,,,,,,,,,,,,,,
#这就是我们的立场#！,2021/4/26 7:02,"评论
2294",美国视而不见，我们也叫不醒装睡的人,美国没脸没皮 一个中国立场,立场坚定，斗志昂扬！,我们在做我们力所能及可以做到的事情，而美国在黑他们力所能黑的事。,坚定我们的立场，共同抗疫,支持世界卫生组织查病毒真正来源,西方某些国家试图靠政治来解决病毒问题，要是有用的话，美国就不会确诊90多万了,相信科学，拒绝阴谋论，团结一致共同抗疫,用正面的声音回应，铿锵有力的宣示立场没什么不对！,同舟共济,#这就是我们的立场#,我们的敌人只有一个，那就是新冠病毒,支持！要共同战胜疫情,中国一定能赢,把甩锅抹黑的劲头用在抗击病毒上，不行吗,立场坚定，团结抗疫[加油],新冠害人不浅。,现在看清了吧，所谓的西方民主是多么的没脸没皮不要脸。,这是一个人类的疾病 而不是一个国家的疾病！,
,,,,,,,,,,,,,,,,,,,,,,
【#你好，明天#】“只要被问病毒，你就攻击中国”，#美国共和党竞选策略备忘录曝光#，遭美国网友斥为“谎话红皮书”。这番操弄肮脏而又拙劣，但并不让人惊愕。多年来每逢大选，美国政客一贯如此。为了狭隘的党派利益，一次次刷新底线，何其丑陋。越攻击中国越自证心虚，抗疫不力的锅是甩不出去的！,2021/4/25 23:45,"评论
1344",有些人 就是死皮不要脸,美国政治正确就是如此,防疫绝不是你个人的事，你的愚蠢和自私，不要让我们来买单。,知道他们这么无赖，为啥咱们的媒体不发声，只让那几个外交官冲在一线,他们病的不轻,美国泼脏水还少干吗？,只要提方方 你就是极左,比病毒更可怕的是人心,美国把无耻发挥的淋漓尽致！！！,美国已经赤裸裸的不要任何遮羞布了，把不要脸发挥到极致,做人不能太美国,支持我们祖国,为了转移注意力，只能找中国来攻击，老配方了,美国现在不想着怎么抗疫，天天盯着中国不放...而且中国问心无愧，大家都是有目共睹，美国真以为自己胡言乱语几句大家就信了？,支持发言人！加油！,要点脸嘛？,反华竞选成功率高点,美国真是亡我中华之心不死 一贯如此 但来不及了 中国正在和平崛起成为唯一一个不依靠杀戮和抢夺崛起的大国,,
,,,,,,,,,,,,,,,,,,,,,,
【夜读：有一种思念，叫不联系不打扰】生命中总有许多人不能陪你走完一生，而是在某段时光里带给你温暖和力量。人生的聚散离合，有时并不由我们左右；有些感情，只适合留在心里。相聚时，好好珍惜；缘散时，不必纠缠。人越长大，越喜欢把对一个人的思念调成静音模式。不再打扰，不会联系，也不曾忘记。 【夜读】有一种思念，叫不联系不打扰,2021/4/25 21:45,"评论
2083",你知道那种思念极致的感觉吗。我曾经发了句晚安给她，一晚上醒来七次看手机信息。就是那种可怕的朦朦胧胧的意识，梦里都梦到她好像回了我信息，然后意识带我从梦境里挣扎出来立马去翻看手机。你看，这大概就是思念深入骨髓，竟连梦境都不愿放过了吧。,人总是越长大越孤独！想起这句话“你要做一个不动声色的大人，不准情绪化，不准偷偷想念，不准回头看”晚安报报,有些失去，是你穷极一生也没办法失而复得的。,有一种思念，叫不联系不打扰,我爱你是安静的,人生若只如初见 该多好啊……,夜读是不是提前了,有一种思念叫对毛主席的思念,吃水不忘挖井人，时刻思念毛主席,晚安,晚安，愿你安静地入睡，有个美丽的梦,到了一定年纪，夜读的目的变成了助眠……,晚安~,我天天思念盛佳，我还准备借钱烧个纸人去地狱问候张振新！,安～～,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#广宗村庄饮用水异常系技术员违规操作所致#】据广宗发布：该事件系广宗县志通电动自行车厂23日晚利用自来水向酸洗槽注水过程中，现场操作技术员未按照操作规范关闭注水管，供水站停水后致酸液倒流入供水管道所致。#河北自来水异常事件3名嫌疑人被控制#，企业法人代表已自首。,2021/4/25 19:34,"评论
904",有的人怎么回事，没查要骂，查了又不信，所以怎么样才合口味,真可怕,希望严惩不贷,自来水管居然和工厂管道互通！水还能倒灌回管网系统，自来水公司拉出去枪毙一百次都不够！！！,水是人的生命之源，不容懈怠！一定要严惩！,严惩,这就是管路设计问题,原来是这样，严惩！！！,网信普惠供应链国家标杆，写进党校教材，一带一路的随访，20国峰会，乌镇大会都参加，一堆牌照，荣誉光环背书站台一堆，却是十足诈骗，最高检最高法，中央政法委，银保监，中国互金协会，北京金融局，公安部，中纪委，监察部北京政府等老百姓的血汗钱在等你们出手抓诈骗犯,生命之水啊,真可怕！！,太可怕了，这小孩要是喝了该咋办,有责任就负责任啊，故意的也有相关的处罚方式，违规也有,网信普惠供应链国家标杆，写进党校教材，一带一路的随访，20国峰会，乌镇大会都参加，一堆牌照，荣誉光环背书站台一堆，却是十足诈骗，最高检最高法，中央政法委，银保监，中国互金协会，北京金融局，公安部，中纪委，监察部北京政府等老百姓的血汗钱在等你们出手抓诈骗犯 @人民日报,违规操作不仅仅害了自己还害了别人，严惩不贷！！！,所以无论什么工作，规范化很重要，不能有一丝懈怠，这件事给了我们一个警示,我天！！生命安全啊！！！这技术员真的要惩罚！,,,
,,,,,,,,,,,,,,,,,,,,,,
【国家卫健委：#小学生每天线上学习不超2.5小时#】今天，国家卫健委发布了《儿童青少年新冠肺炎疫情期间近视预防指引（更新版）》，国家#卫健委对中小学生线上学习时间做出限制#，小学生每天不超过2.5小时，每次不超过20分钟；中学生每天不超过4小时，每次不超过30分钟。减少线上学习外的视屏时间，除教育部门安排的线上教育时间外，其他用途的视屏时间每天累计不超过1小时。网页链接,2021/4/25 19:17,"评论
1692",有一个学校听算我输,大学生呢,大学生几乎都是电脑操作，我快瞎了是真的,谁听？？？？？？,现实吗？,我们坚持到初二还没近视。可现在真是不保了。天天手机笔记本电脑，从早到晚,小学生改个作业都要两个小时起步,我学校领导能听进去算我输,大学生呢,高中生算中学生吗,大学生呢？,你好，中学生包括高中生吗?,小学生网课也上了，现在通知五一不放假，以后周六都补课，是想累死小学生吗,有人会听吗？,全近视时代来临！,快点开学吧 再不开学家长都要疯了,我们大学生一天要上10个小时,都快开学了 才发出来,,
,,,,,,,,,,,,,,,,,,,,,,
【#50年前航天员怎样训练#？】一段珍贵影像，记录了上世纪70年代#中国最早航天员训练画面#：小型飞机改装成临时失重实验室，在高速进行抛物线飞行时，实现40多秒失重状态，航天员就在这样的失重环境中练习吃饭、喝水的过程……老一辈航天人在艰苦条件中追寻梦想。致敬中国航天人！央视军事的微博视频,2021/4/25 18:34,"评论
646",致敬,致敬！,致敬中国航天人，谢谢你们,致敬中国航天人谢谢你们！致敬英雄,隔着屏幕都能感觉到他们的不易 致敬所有中国航天人 你们是伟大的存在,感谢毛爷爷那一辈老革命军，感谢那一辈科学家。,能认识五六十年代我们国家的进步 对你来说你做的不错的事情了,致敬英雄！,多公布一点前30年的东西，怕啥？,哇，致敬！,有了前辈们的付出开拓，我们的航天事业才会有这么大的发展！致敬！,这是1970年？不是崩溃了吗？,致敬英雄,那时候是有条件得上，没条件创造条件也得上。太不容易了,当年那么艰苦那么困难都走过来了，现在还有什么能难倒我们的！,辛苦了,致敬英雄！！感谢你们,向中国航天员致敬,致敬中国高航天人,
,,,,,,,,,,,,,,,,,,,,,,
【#即将告别网课心情如何#】随着各地开学在即，宅在家许久的同学们终于要告别网课了。在这段老师们花式变身主播、同学们喜提直播套餐的日子里，师生间有哪些难忘的趣事？你身边也有这些网课学习的非正规打开方式吗？这些网课时停电的、“开黑”的、吐槽“这节课不重要”的同学们，祝你们开学顺利！新华网的秒拍视频,2021/4/25 17:52,"评论
2219",网课其实挺好的 我怕了开学考,说不想开学 想上网课会挨骂吗,要去学校当然不开心啦,想和我一样继续上网课的同学有吗,回学校宿舍继续隔离上网课大可不必,山东催催吧,与其说期待开学，不如说期待恢复正常生活，混乱的节奏，真的受不了,重庆高校辅导员晚上半夜打电话通知湖北的学生4.27到校的情况能不能反应一下？？上面没有公开文件，还只给两天缓冲时间，这真的合理吗？？？？,叶公好学了,网课其实挺好的 我怕了开学考,想问问有些部门：说中小学生课业负担重的是你们，说“停课不停学”的也是你们，看上去是史上最长的寒假，其实是休息时间最短的寒假。学生的视力下降了、自控力下降了、家庭矛盾加深了，没学好、没玩好、没睡好。开学了周六补课、延迟放假，你们的心不痛吗？,去学校不是还得上14天网课，还早把,很多营销号说不想开学都毕业十几年来还不想上学,我记住你了！品·洪世贤·莫妮卡·如,我靠，电音女王,有人不想去学校上课吗,不想开学鸭,,,
,,,,,,,,,,,,,,,,,,,,,,
【#华春莹发推反击美共和党甩锅中国剧本#】24日，美国网站Politico曝光了一份共和党炮制的备忘录，包括“新冠病毒是中国的肇事逃逸”等竞选攻击策略，意在让攻击中国成为2020年大选的中心议题。25日，外交部发言人华春莹在推特上附上相关报道，并反讽“真是个好剧本！快看！”有美国网友也认为，共和党此举“可耻”。 美国共和党“积极攻击中国”备忘录曝光，华春莹发推反击,2021/4/25 17:03,"评论
4715",美国就是无耻玉下流的代名词,这个世界上两种人的话不能信，一个黑眼圈的，一个白眼圈,川普在发布会前，说：今天该甩锅指责谁？ 旁边有个轮盘，依次是： 民主党、 世卫组织、 奥巴马、 老妖女、媒体、 中国、欧洲、福奇、加州州长 、纽约州长…… 今天又是谁呢？,除了天天写剧本甩锅，你们还干了点啥？,特朗普：吾日三甩吾锅~,放开推特，让更多的国人发出中国的声音，反击这些无耻的魑魅魍魉。,支持华姐,希望更多媒体去外网多声援，舆论战不能总让外交部单打独斗,美帝：想要我低头精诚合作，这辈子不可能的了，光明正大做生意又不会做，只能是靠偷，靠抢这种东西，才能维持得了生活，我每年都会找我欧洲、亚洲的狗腿子们，一个个有钱又听话，说话又好听，我超喜欢的…（其实我惦记你们家的电瓶）,美国不要脸已经常态化,美国要点脸吧,为什么不放开推特让十亿国人发推淹没美利坚！,美国共和党已经赤裸裸的不要任何遮羞布了！,华姐在推上还挺活跃,2020奥斯卡最佳剧本奖,我真的太喜欢外交部几位发言人了 各有各的霸气 外交天团名不虚传,把墙打开，我们出去怼死他们！,为什么我上不了推特？,上推不是非法上外网吗,华姐威武！剧本不仅拍了，男主角特朗普都公演无数场了。
,,,,,,,,,,,,,,,,,,,,,,
【#援鄂一线专家答疑常阳患者#】据国家卫健委医政医管局监察专员焦雅辉介绍，武汉现有确诊病例中有30多人长期核酸不转阴，为常阳患者。常阳患者有哪些特点？为什么会核酸常阳？为什么#常阳患者理论上具传染性#？为何不需要治疗？核酸转阴的可能性有多大？如何正常生活？看援鄂一线专家释疑→ “常阳患者”会传染吗？援鄂一线专家六问释疑,2021/4/25 16:41,"评论
365",是否具有传染性，要看患者体内是否存在活病毒，如果有，那么理论上仍有传染性，只不过症状不明显者，一般传染性较弱；如果只是死病毒，会在一段时间内自然代谢掉，不具备传染性。“这种阳性会持续多久，新冠还没有标准，参考流感病毒，一般转阴不会超过一周。,加油,常阳性，还是好好待着隔离吧～每个人体制不一样，很难说谁的体内病毒没有传染性。再挺挺，一切都会好起来的![加油],常阳患者可能和无症状感染者类似，理论上有传染性，但传染力应该不如确诊患者。,加油，一定会好起来！！,解释很详细，听专家的！,加油，会好起来的,加油，一切会好的[加油],加油，期待这些患者能尽快转阴,加油加油,拜托了，快好起来！！！,清新的评论真好,转不了阴真是倒霉透顶,病毒太狡猾了，全球包括中国发现提取的病毒样本合起来有abcdehl,加油，一切都会好起来的,加油加油,常阳，说明病毒和宿主共存共生，相互之间互不干涉，达到了生态平衡。,我佛了…真不知道说啥好了,,
,,,,,,,,,,,,,,,,,,,,,,
【今年#3月户均移动互联网接入流量达9.5GB#，你贡献了多少？】今天下午，国务院联防联控机制召开新闻发布会，工信部信息技术发展司一级巡视员李颖介绍，2020年我国#一季度移动互联网接入流量同比增长39.3%#，今年3月户均移动互联网接入流量达9.5GB，为近12个月以来的最高点。 人民日报的微博视频,2021/4/25 16:34,"评论
686",谁托我后腿了？ 9.5个G可不够我用的,我上网课每月90G,达不达 4G别给我降速啊,我每个月都是40G+,有wifi,100G中国联通直接断了我的网,可能最近瓜太多,无限流量我本人,宅在家里就是贡献流量的,我贡献了60gb,我的贡献量是35G,太多人上网课,最主要是疫情期间，三大运营商给老百姓优惠了多少？！还是在发国难财！,我手机都128G了,都在家没事干还不是玩手机，再加上学生上网课,连着WIFI，还好，要是纯流量，我得100GB+,我150G应该不算高吧,在家有无线网随便用,300M 在家呆着不香吗,
,,,,,,,,,,,,,,,,,,,,,,
