"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
,,,,,,,,,,,,,,,,,,,,,,
【武汉市金银潭医院院长#张定宇妻子捐献血浆#】2月18日上午10点左右，武汉市金银潭医院迎来了一位特殊的献血浆者。她是该医院张定宇院长的妻子程琳女士。程琳女士带着同是新冠肺炎康复患者的同学来到武汉市金银潭医院献血点，经过一系列的问询、身体检查等评估，符合捐献血浆的要求，捐献400ML血浆。据了解，程琳女士1月19日确诊新冠肺炎在武汉市第四医院，经过10天的治疗，1月29日康复出院，目前身体状况恢复良好。她也希望更多的治愈患者能到武汉市金银潭医院献出宝贵的血浆，挽救更多的重症患者。 （湖北之声）,2020/2/18 14:12,"评论
3385",#程琳女士捐献血浆# 写个女性的名字可把你们难死了,感谢您和您的爱人,这位妻子不配有姓名吗？,好人好报！,“人传人”是种无奈，“人救人”是种境界！致敬英雄的家庭,,捐献血浆，在标题上连名字都不配吗,英雄夫妻，无与伦比的伟大,程琳女士很棒,一家人都是英雄，一家人都是模范,这也不是什么女权，女拳的事啊，总有人去攻击女权。人家就是说，这都是英雄，标题报一下名字也是应该的啊…感谢程琳，无关男女啊。别动不动就上升啊，女权现在怎么这么容易被碰瓷…,果然院长的妻子就是“特殊”的？,是#程琳女士捐献血浆#，谢谢,虽然但是，为什么标题不可以是程琳女士捐献血浆呢,感谢您和您的爱人 好人好报,都是伟大的人 现在希望奇迹能发生在张院长身上 这么好的人一定要让他健康起来 真的拜托了拜托了,把女士名字单写出来会要了你们命是吧?非得加上某某妻子某某母亲某某女儿某某姐姐是不是?,程女士：我不想来的啊，可是你都上报道了我能不来吗,刚刚我看了几遍通稿，正在想有什么能被攻击的地方。其一，就是标题用“张的妻子”和“院长的妻子”，暗示女性是男性的附属品。其二，就是大幅报导领导家属做好事，搞特殊化。没想到真的有评论和我不谋而合。//@蔚蓝色虎鲸:#程琳女士捐献血浆# 写个女性的名字可把你们难死了,致敬，报道标题上带上程琳女士的姓名吧。
,,,,,,,,,,,,,,,,,,,,,,
"【湖北：#湖北一线医务子女2020中考加10分#录取、#防疫中作贡献医务人员优先晋升#】日前，湖北官方发布《关于进一步关爱和激励新冠肺炎疫情防控一线医务人员的若干措施》，若干措施提出，加强对一线医务人员的政策倾斜，2020年参加中考的一线医务人员子女，有关市州可在其录取总分基础上增加10分后参加中考招生录取。
一线医务人员子女2020年秋季入学幼儿园的，优先安排到辖区内公益普惠性幼儿园就读；2020年秋季学期升入小学或升入初中就读的，由户籍地所在县(市、区)教育行政部门统筹，在学位允许的前提下，按就近就便的原则，优先安排到相对优质的学校入学；2020年参加中考的，有关市州可在其录取总分基础上增加10分后参加中考招生录取。
2020年，一线医务人员子女参加普通高考报考我省省属本专科高校被录取的，由高校根据考生意愿在同批次优先调整专业；安排省内部分优质高职院校专项招收一线医务人员子女，实行计划单列。
将医务人员在疫情防控工作中的表现作为人才评价和人事管理的重要依据，对作出贡献的医务人员在职称评审、人才项目评选和事业单位岗位聘用时予以倾斜，优先推荐、优先晋升。网页链接",2020/2/18 13:47,"评论
8715",换成提高工资福利之类的更好吧？？,我觉得奖钱就行，加分有失公平吧,这样是否对其他学生公平？,那没孩子的呢......,为什么不把福利给医务人员本人,加分对其它学生不公平，落实到个人合适,值得商榷，或许有更好的方法,不太好吧。不公平啊。...,这不公平吧 让父母不是一线医务人员的子女买单,为什么把福利加在孩子身上？,觉得这样有利于学医,中考也很重要啊…十分也是能拉很多人的,我觉得你多给点实际性奖励更好,魔幻....感觉不公平 还不如换成薪资待遇,10分对于其他人来说是不是太高了？,不应该奖励给医护人员本人么。这对于其他孩子不公平呀。那环卫工人，超市员工，快递外卖这种也在维持社会运转的人，是不是孩子也加两分啊。,虽然但是福利给到医务人员本身更好吧,那家里有人得病的学子加20分行吗,福利给本人比较好吧...,这也行?那警察的孩子加不加分?
,,,,,,,,,,,,,,,,,,,,,,
【#为疫情防控社区志愿者发放补贴#，#合理安排社区防控工作人员轮休#】18日，民政部、卫健委联合发布通知，要求进一步关心基层工作人员。措施包括：最大限度#压减不必要的材料报表#，让社区工作者、基层医务人员将更多精力投入到做好社区防控工作上；强化社区防控工作物资保障，重点配齐口罩、防护服、消毒水、非接触式体温计等各类卫生防护器材和防控器具；优化社区防控人力配置，合理安排参与社区防控工作人员轮休；为参与社区防控工作的专职城乡社区工作者适当发放临时性工作补助，并为参与疫情防控工作的社区志愿者适当发放补贴等。网页链接,2020/2/18 12:22,"评论
1358",正因为有社区工作者 才能完成拉网排查，以后给他们减减负吧,让基层人员多点休息吧，减少形式主义,赶紧减少各种报表台账吧！！人都要被这种形式主义留痕模式搞傻了！,连轮休都不给，还给补贴呢，希望中央好好管管这些上级机构，所有的福利都被克扣,社区工作者从大年三十开始加班，每天都是将近十点下班，接触大量外来人员，唯一的防护只有口罩，每天填表报表，还要不停问责，只想说能把加班工资给我们吗？不要以一句社工不是编制来违背劳动法！,保护好社区志愿者，对寻衅滋事的一定要严惩,没有口罩 都用自己的,支持！感谢每一位在抗疫期间付出努力的人！,福利不要只是口头承诺，付出行动才是关键,现实情况还是有很多工作不断地往下派，基层白天轮流填表写材料，外面巡查还得回单位领材料，晚上还得站岗接受突击检查，从早忙到晚，停休几周了身体状况越来越差。,基层一线工作人员已经很累了！不要什么无关部门都来插一脚了！什么无关的部门都来搞检查摆官架子，一大堆事情堆在那里没做还要陪官老爷们走街，他们到底是检查工作还是妨碍工作啊！还老是鸡蛋里挑骨头！,社区工作者是一群战斗在一线却很常被忽视的群体，责任层层下压给社区，但功劳往往是别人的，出问题了锅是他们的…,提高社区工作人员待遇吧，比基层公务员差距太大了，而且事情辛苦程度比基层公务员不少啊,让我们轮休下好吗？排查也社区，买菜买油买米也社区。买药也是社区，社区的网格化，一个人管理2个网格，力不从心。可有人管管。我们坚持不下去，管不过来。需要改革，需要人手。需要领导不乱指挥。需要休息。,终于有人看到我们社区工作者了,致敬基层工作人员真的很辛苦，一定要合理安排他们的工作时间，拒绝形式主义。,支持,希望能发放，志愿者不是为名利去的，但正是因为不为名利才更可贵更伟大。,,
,,,,,,,,,,,,,,,,,,,,,,
【转发了解！#哪些消毒属于过度消毒#？】小区搭消毒棚、车轮喷消毒剂有必要吗？鞋底需不需要消毒？#消毒剂中毒怎么办#？戳图了解↓↓,2020/2/18 12:01,"评论
1433",非自愿给女生剃光头是不是过度消毒？,不说其他的 小区消毒棚是之前畜牧场采用的 对人体不会过度伤害 而且 不是说病毒传播途径还有气溶胶传播吗 人日的知识点落后了,人日，我问一个问题。李医生可以列入烈士吗？,涨知识了，最近过度紧张，什么都想消毒,想问一下，N95口罩30块钱一个合理吗，可以举报吗？去哪里举报？,鞋底那个… 为保心安，家人还是会喷鞋底,涨知识了！,1.只能说大部分消毒是没有起到作用的，但是谁也不能保证就没有病毒。2.过不过度，没有标准，病毒还没研究清楚就下结论未免为时尚早。3.自己把握就完事了，觉得有必要就消毒。4.用消毒剂的时候注意点就是，避免火灾或者高浓度中毒。,孝感一家人打牌关注一下,消毒有点太过了，对环境，对人危害，远远大于病毒，,消毒归消毒，别给消防添麻烦,哦，这些天都白喷了,千万不能用酒精喷容易引起火灾,地面，车轮和鞋底还是需要消毒的，人体除了酒精以外不要喷。有的消毒剂易致癌。酒精易燃。,那没口罩咋办 是不消毒继续用比较好吗？,【转发了解！#哪些消毒属于过度消毒#？】,【转发了解！#哪些消毒属于过度消毒#？】,好的知道了,请问快递到底需不需要消毒呀,
,,,,,,,,,,,,,,,,,,,,,,
【#李兰娟称病人怕漏不怕多#】中国工程院院士、国家卫健委高级别专家组成员李兰娟17日接受采访时表示，只要把传染源100%找出来且有效控制、对已发现病人采取针对性治疗、把感染者进行隔离，感染人数就应该会降下去、外界就是安全的。中新视频的秒拍视频,2020/2/18 11:45,"评论
3406",对！！就是怕漏！！一定要完全治好再出院！！,李兰娟院士，非典期间功臣之一， 十七年前治愈患者无一例严重后遗症， 创造无医务人员感染，无二代病人的奇迹 浙江早几年就关闭了活禽市场也归功于李兰娟院士，此次武汉封城也是李院士率先提出来了的，向李兰娟院士致敬,病人不怕多，就怕漏，病床不怕多，就怕缺,对的，当初浙江病例数暴增的时候李院士就是这么说的，现在浙江成功逆袭啊,现在有一批人攻击李院士，这些人真是猪油蒙了心。还有一批好事之徒造谣李院士的关于娱乐圈的言论。李院士天天在一线，哪有那个时间发这些。,73岁的李兰娟院士，84岁的钟南山院士都奋战在第一线，麻烦那些喷子都把嘴闭上吧,中国人民的脊梁,浙江人就喜欢说实话！不怕多！就怕漏！,我们需要的鼓励，而不是各自挑刺，谩骂，各种不满，我们要团结一致，共同抗疫[加油],数据也是 怕虚不怕多,李兰娟院士您辛苦了！！！！！,对呀，浙江一开始所有领导都是这个态度，所以对浙江的控制我一直有信心！,看看人家浙江做这么好难道不是李老的贡献吗,李院士是实在人,浙江一开始的时候，领导态度就是不怕多就怕漏。所以有人黑数据不透明，瞒报的时候，我只想说，滚，我们浙江数据很透明，很公开，很及时。,好多人为了黑而黑，李院士在1月份就说过不怕多就怕漏，浙江也是严格执行的，浙江从第二严重地区，到今天新增1例确诊病例，治愈出院的除湖北外最多的。我们用事实证明，不是用键盘来黑人。,再怎么黑李兰娟，也是她没日没夜的奔波在一线，真的没用的话国家不会派她去，她也待不住，键盘侠们又做了什么呢？,攻击李兰娟 钟南山院士的键盘侠怕是被挖了心 没心,说的对！不能漏，一个漏的不知道传染多少人,
,,,,,,,,,,,,,,,,,,,,,,
【#湖北全面排查发热病人#】湖北全面开展发热病人排查核查工作：全面排查1月20日以来，各医疗机构就诊的发热病人、通过实体药店购买或网上订购降热退烧止咳类药品人员，掌握上述人员就诊或购药时间、姓名、公民身份号码、现居住地址、联系电话等信息，并组织上门核实、后续检测、隔离收治等工作。网页链接,2020/2/18 11:37,"评论
1061",一场疫情，全民成了厨子，医护成了战士， 老师都成了主播，机关干部成了门卫，家长成了班主任， 只有孩子们，依然是神兽！小区门口的保安都成了哲学家，问的都是直击灵魂深处的终极哲学问题：1、你是谁？2、你从哪里来？3、你要到哪里去？然后深情地给你一枪，看你是不是头脑发热了,热一热二是不是营销号。然后是不是有群，然后大规模发,等疫情结束，我们一起去吃热干面,一场疫情，全民成了厨子，医护成了战士， 老师都成了主播，机关干部成了门卫，家长成了班主任， 只有孩子们，依然是神兽！小区门口的保安都成了哲学家，问的都是直击灵魂深处的终极哲学问题：1、你是谁？2、你从哪里来？3、你要到哪里去？然后深情地给你一枪，看你是不是头脑发热了,湖北加油中国加油,湖北总是慢半拍，武汉全面排查的时候湖北全省就应该跟进，越早摸排完越利于疫情防控，就和建武汉雷神山医院一样，全国14亿人民眼巴巴盯了十几天终于建成了，结果才增加了1500张床位，这才想起来征用体育场馆学校做方舱医院，病人收治隔离一拖再拖，昨天了还在清零，这都什么政治觉悟？,加油加油加油等疫情结束，我们一起去吃热干面,请关注孝感,希望好消息原来越多。。。武汉加油，热干面加油！！！,必须全面，怕有漏网之鱼啊！,这样不好吧？如果是普通感冒却被拉去隔离 难道不会交叉感染？还是要实事求是,我要上武汉大学,等疫情结束，我们一起去吃热干面,湖北鄂州市要配备更强领导，支援更多的医疗力量，作为湖北省人口最少的地级市，省内除武汉外新增人数第一，人均死亡人数第一，希望指导组和省市高度重视。@ 人民日报,各省市确证患者90%以上有湖北行程或轨迹，为此，湖北全省城乡应一户一人不漏全面排查。,武钢有限冷轧厂二冷轧酸轧线一名操作人员确认感染新冠肺炎。班组所有人员隔离到酒店。但轮到当班时仍旧被拉到现场工作，与其他班组人员共用操作室。其他班组人员照常上下班回家。如此隔离有何效果。小区全面封锁对于青山区形同虚设，武钢人员照样出入无阻。,,,,
,,,,,,,,,,,,,,,,,,,,,,
#中小企业共度难关#【国资委：#扶持中小企业理所当然#】国资委新闻发言人夏庆丰表示，疫情面前，中小企业更加脆弱，扶持中小企业是理所当然的。国资委秘书长、新闻发言人彭华岗表示，央企将在产业链基础供应保障，加大业务支持，帮助解决现金流困难，妥善处理延迟交货、支付等问题上实现对中小企业帮扶。 人民日报的微博视频,2020/2/18 11:08,"评论
804",你政策都落实不到小企业说了等于白说,别再扶持私立医院了，多扶持扶持公立医院吧,今年的企业真的太难了……灾难性的损失啊,这次疫情让我见识到了，好的人是真的好，坏的人是真的坏，蠢的人是真蠢。不管怎么样，我们要牢记现在的苦痛，等到了我们这代人，成为社会的中流砥柱的时候，我们要尽可能的去帮助别人。,那个体户和农民成了最难的了,估计会倒一批，资金链断了,唉 一些中小企业还有个体户确实很难,今年不管是企业还是个人，国家都遭到了沉重的打击，一想起这些事，就想把那几个人渣嘎巴嘎巴给剁了,小微企业是社会经济运转的毛细血管,很多行业都受到了影响 有些中小企业撑不下去可能就直接倒了,今年企业真的不容易，希望都能度过这个难关,建议多关注下医护人员 他们太累了 可以给合理安排下工作时间吗,真的小企业太难了，请帮扶他们共度难关吧[加油],就光看政府打嘴皮子仗了，听听就散了吧,损失太大了，想起某些人我就生气！,小企业根本贷款不到，银行的人根本就不搭理你，你们也就嘴巴说说，喊口号。,希望如此吧，今年中小企业太难了,,,
,,,,,,,,,,,,,,,,,,,,,,
【国资委副主任任洪斌：#疫情影响是阶段性暂时性的#】国资委副主任任洪斌表示，疫情对生产经营确实造成了影响。例如，春节旺季航班大面积停飞，1月20日—2月13日，三家航空企业退票1300万张，取消航班7.8万架次，#客座率飞机日利用率下降近一半#。中国旅游集团关闭景区30个，酒店19个，旅游零售店113个，游轮全部停航。但是，疫情造成的影响是阶段性暂时性的，相信随着疫情的日趋缓解和最终消除，受影响行业的需求一定会出现反弹，并逐步回到正常状态。 人民日报的微博视频,2020/2/18 10:36,"评论
1001",关注一下基层工作人员吧 好多人都累垮了有必要调整一下工作时间,对旅游业是灾难性打击啊,今年哪个企业不损失啊……,真的只是个别吗,个别用的好,很多行业都受到了影响 有些中小企业撑不下去可能就直接倒了,我感觉影响都挺大的....,打扰了大家，我想知道家暴真的是有三次以上的出警记录才可以立案的吗,一定会反弹，旅游从业者也会恢复以往的正常工作常态！相信祖国！,国家把抗疫放在第一位是正确的！疫情如果不控制好，人都没有了，搞什么经济！把疫情控制、消灭了！人还在，搞经济才有意义！,对铁路行业影响真的大啊,哎，一言难尽哦！不是个别，是很多好不？,本想着今年开春换个工作，现在啥都别想，班都不知道什么时候才上了,餐饮行业的话，错过就是错过，无法回弹吧,真的只是个别哇？,今年企业真的太难了……,旅游业,我是个体户，已经撑不住了,我们这的个体户都波及了…,
,,,,,,,,,,,,,,,,,,,,,,
【#黑龙江疫情重点地区实施严九条#：#哈尔滨多区封闭管理#】18日，黑龙江省新冠肺炎疫情工作领导小组指挥部发布通知，将在确诊病例10例及以上的县（市、区）实施9条最严格的管控办法，简称“严九条”。措施包括：封住城、关住门、管住人、禁聚集、早隔离、控经营、严执法、保民生、抓督战等。网页链接,2020/2/18 9:06,"评论
9293",看看黑龙江死亡率吧…,黑龙江已经做的很不错了，很多民众就是不自觉，昨天小区里还有翻栅栏进来的，物业排查了一天，晚上找到人了，说是出去买菜，通行证用过了。你说自不自觉！！！,现在在黑龙江的外省复工人员根本出不去，在10多天以前就一直在封路，搞一刀切，不让车通行，到底怎么才能出去呀,黑龙江加把劲啊，希望尽早刹住,孝感现在缺医疗用品，麻烦查查捐了那么多有没有捐到她们手里，黑龙江送出去那么多医疗人员，第三四批刚送到孝感，就缺这个缺那个的，当回事吧，别让我们的医生护士有危险，去的都是最优秀的人员，都是家里的顶梁柱,黑龙江的疫情像心电图一样起起伏伏，黑龙江的状况树立了手忙脚乱的典型，开始不够重视，现在全国已经进入第二阶段，即复工与防疫并重，而黑龙江还停在第一阶段。就拿哈尔滨周边地区出城需体检证明来说，导致定点医院人满为患交叉感染风险陡增，随后政策一变再变，决策者拍脑袋式下命令,齐齐哈尔建华区15例建华区委书记就被撤了？之前发布的养老院多人感染的事情到底是真是假？如果是真的即使没有确诊能不能把接触人的轨迹大概说一下，如果是假的能不能辟辟谣，宅在家这么多天没见轻，反而越来越多到底咋回事,之前提到黑龙江的微博底下，几乎每次都有一堆要重视别的各种省的评论呢,严格是对的，不能搞一刀切啊，第一条什么都不让进，复工怎么办，在高速漂流吗？？有复工证明都不让进让我们怎么办,我们黑龙江其实很努力了，所有小区封闭，志愿者黑白天站岗，这可是零下20多度啊，就是有那不自觉的！！！我们的医护人员都支援孝感去了，在家的都省省心少往出跑吧,作为黑龙江人，我支持遵守……不抱怨不诉苦，祈祷祖国快好起来，祈祷家乡快好起来……即使不能面朝大海，依然可以拥抱春暖花开！,我是黑龙江人，不知道其他地方如何，但是我感觉我们家这里已经做的很到位了，我们家在一个小镇子，商铺除了超市都在关门，路口已经封了快一个月了，学校的教师都是志愿者，每家每户走访调查，公安人员也尽职尽责，希望疫情快点过去吧,现在在黑龙江鸡西市恒山区外省务工人员根本出不去，在10多天以前就一直在封路，不让车通行，目前没有想着我们这些外出工作人员，搞一刀切，天天想着怎么封路，就想问什么时候能让我们出去。,黑龙江出台严格政策，一堆外省跑来比比划划的，都什么心理？看笑话来了，用你们出医疗出物资了么？我们现在在巩固切断的内扩源头，收治确诊疑似病例阶段，传染不到全国，放心吧,黑龙江提前二十天这么重视都不会发展这么快,如果每个地方都能这样重视，四月前能结束的概率就大大上升了！,捐钱时候应该的，去医疗队应该的，疫情严重不应该，随便吧，做啥都不对，黑龙江干什么了？死亡率高也怪黑龙江政府，民众，行行行随便您,,,
,,,,,,,,,,,,,,,,,,,,,,
【戳泪！#火神山见证八旬老兵的爱情#】84岁的抗美援朝老兵张爷爷，与老伴杨奶奶结婚62年了。因为照顾他，杨奶奶也被感染了新冠肺炎，张爷爷一直很自责。入院以来，张爷爷总是细心照顾老伴，每顿饭都让她先吃，点点滴滴让人感动……网友：爷爷奶奶都要平平安安！央视军事的微博视频,2020/2/18 8:29,"评论
1503",执子之手，与子偕老,等过去这次疫情，他们就能一直牵着手走下余生,爷爷奶奶都要平平安安！早日康复！,我羡慕的感情，爱情升华以后是亲情，以前的爱情真的好，一生只够爱一个人,现在病毒已经是苟延残喘了，我们共同努力，在这最后最关键的时刻千万不要误以为事态已经不再严重了，我们坚决不能让病毒因为我们最后一刻的大意而复苏，加油武汉，加油祖国。,爷爷奶奶平安长寿！（求求主流媒体不要再宣传女医护剪光头了，本来是很好的自愿的个例，现在有些过犹不及了）,总是看不得这样的视频，感动的不行,奶奶一定要平安痊愈啊！爷爷也要好好的,加油！祝福平安,多关心一下女性医护人员的安全裤和卫生棉吧！,不羡慕轰轰烈烈的爱情 只羡慕白发苍苍还依然不离不弃的老人,祝福爷爷奶奶平平安安。,执子之手与子偕老,真神仙爱情 爷爷奶奶一定要健康,老人家一定养好身体，祝你们早日康复,感动！少年夫妻老来伴,看到了满满的爱,这才是爱情的样子,这就是爱情，只想付出，不想牵连爱的人,
,,,,,,,,,,,,,,,,,,,,,,
【#托福取消三月份考试#】据TOEFL托福考试官方社区 ，根据当前中国各省市针对新型冠状病毒疫情突发公共卫生事件一级响应的要求，托福考试决定取消在中国大陆地区三月份所有考试。至此，中国大陆地区二、三月份所有托福考试均已取消。所有原定于3月考试的考生可以免费转考至其他月份。,2020/2/18 7:43,"评论
393",今年留学党太难了…,四月能不能加场啊，真的很需要这个月出分数，哪怕是加在上课的日子也比没有考位强啊，三个月没有考试积压了多少考生而且消息出的这么晚很多地方已经连五月都没有位置了,留学党也太难了……韩国直接停学一学期,今年的谁都好难！上学去不了，上班去不了！,2020真是太难了,看你磨蹭了半天，还以为你能搞出什么花样来呢结果不还是一样，还比人家雅思慢了不止一星半点,这届20fall好难,我们这届留学生太难了 考位都到六月份了。要是不加场 大学都上不了了,希望四月加场有通知加场加场加场加场加场加场加场加场加场……,今年太难了,今年留学党真的,计算机二级呢？,SAT也取消了,疫情相对不严重地区能否中央下个文件，该开学开学吧,专接本考试呢,那高考呢,山东事业编今天开始报名，所以3月22号考试也不推迟吗？,坚持以团结、稳定、鼓劲、正面宣传为主，是宣传思想工作必须遵循的重要方针。在事关重大是非和政治原则问题上必须增强主动性、掌握主动权、打好主动仗，帮助干部群众化轻是非界限、澄清模糊认识。那么请问共青团中央把我们从小热爱的共青团公然偶像化，饭圈化，娱乐化有何意图？是拍脑袋就做的决定吗？,今年考试的是不是都耽误了呀,
,,,,,,,,,,,,,,,,,,,,,,
【国家卫健委：#湖北外地区日常医疗不能一关了之#】国家卫生健康委下发通知，要求对于湖北省以外地区，要紧密结合疫情发展形势，一手抓疫情防控、一手抓医疗服务，不得搞一刀切，不能采取停诊的方式、将日常医疗服务一关了之。具体内容戳→网页链接,2020/2/17 22:59,"评论
6374",避免形式主义吧，求求你了,主要是大量医务人员都援鄂了，人手不够,既要…又要…,其实这个要求还是挺难的吧……你借走好几百人。医院本来就医生不足。应该说定点医院保持正常医疗就很不错了,医生人手不够，开个鸡儿的门诊？？？？？都特么开了，交叉感染？你去过医院么？了解门诊挂号多难么？了解一个科室一上午成百上千的号么？现场排队要不要也按以前的来，不要张嘴就来，不要感觉现在数字好看就可以沾沾自喜掉以轻心，想稳定发展也是要等足够的本事对抗病毒的时候再说官话,人手不够知道吗？每天跑来跑去要去别的科室帮忙的。,说这话的经过大脑了么？拍屁股做决定么？好，分析分析，急诊外伤的，心梗的种种，哪个三甲医院拒诊了？哪个不接诊了？限期的，肿瘤的，各大肿瘤医院关门了么？拒诊了么？再说说平常的，切个疖子，切个肿物？看个糖尿病这种常见病一定要在现在看，过一段时间疫情刚完事了不能看？,但是谁能保证普通病房没有漏诊的新冠患者？普通病房什么防护你知道么？按平时那样收病人的话，一个病人全科隔离，其余患者，家属，医护，卫生员全隔离一两百号人,您这话说的真的是挺匪夷所思的！好像是我们自己想关的一样，医护够用的话哪家医院没事儿关门诊玩儿！抽掉了多少医护您作为国家卫健委自己没个数儿嘛！,你说的不是废话么。。。人都去支援了，哪里来的人啊,防护物资都随支援医护捐到前线去了，家底都没了，发热门诊的医护有时候连N95都没有，没有防护物资，让医护人员都肉搏吗？他们的命不是命吗？,挨家挨户贴封条半个月了 都他妈要憋出病了 zf本不管还觉得自己做的很好 牛逼,看个病吊个水都能冒出来确诊的，一屋子人都要隔离，让人怎么开门看诊。,我想知道，说不会人传人、幼儿和年轻人不易感等此类话 ，结果全部是错误提示，说这些话是不是不用负责？上万亿的损失还有上千人的生命如此…,你就说说？人呢？两万五千多人去了湖北！湖北的医护要排除掉，有没有算过全国剩下的地方还剩多少？还要去掉各地的一线，还剩多少？怎么保证？用嘴巴？,药店都不开门了,主要是物资不够啊，口罩都没有 防护服也没有。防护不到位，医务人员会被感染的,卫健委的官老爷们，能不能考虑下实际情况？到时候肺炎患者救不过来你们是不是又要批评？,我们新疆真的一刀切 真的太过了 我们也不是没事找事 知道事情的严重性 但是我们新疆作为第一个封城的 都已经封了快一个月了 居然还叫我们封15天 真的要死了,
,,,,,,,,,,,,,,,,,,,,,,
【#武汉再建10座方舱医院#，新增床位万余个】按照武汉市委“要把强化患者救治作为重中之重，继续新建‘方舱医院’，打好提前量，力争‘床等人’”的防控疫情部署要求，武汉各区正在新改扩建大小型10座方舱医院，共计新增约11465个床位，用来收治新型肺炎感染的轻症患者。网页链接,2020/2/17 22:24,"评论
1812",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【两部门：符合条件的#因工作感染新冠肺炎殉职人员应评为烈士#】据新华社，记者17日从退役军人事务部获悉，退役军人事务部、中央军委政治工作部近日联合印发《关于妥善做好新冠肺炎疫情防控牺牲人员烈士褒扬工作的通知》。通知指出，在新冠肺炎疫情防控工作中，直接接触待排查病例或确诊病例，承担诊断、治疗、护理、医院感染控制、病例标本采集、病原检测以及执行转运新冠肺炎患者任务等的医务人员和防疫工作者因履行防控工作职责感染新冠肺炎以身殉职，或者其他牺牲人员，符合烈士评定（批准）条件的，应评定（批准）为烈士。,2020/2/17 21:52,"评论
1525",李文亮第一个,赞同,这就是战争，殉职就是烈士！,我早就说了，给李文亮一个烈士，这事儿完全就过去了,理应如此,我就想到了李医生 不知道为什么,他们值得,李文亮排第一！,让他们平安归来好不好,李医生,我们不要烈士，我们要他们平安归来,烈士的另一个名字便是英雄,“中国总是被他们最勇敢的人保护的很好。 ——基辛格《论中国》,李文亮,李文亮,请务必要照顾好烈士的妻儿老小,,,,
,,,,,,,,,,,,,,,,,,,,,,
【触目惊心！#四川破获特大猎捕野生动物案#】1月7号，接群众举报，四川西昌市森林公安局在西昌市某餐厅厨房冻库内当场查获熊掌等一批国家二级保护野生动物及其制品。经过周密侦查，现已查明：犯罪嫌疑人董某甲等多人，自2011年以来分别收购从盐源、木里非法猎捕、杀害、运输出来的大量熊掌、獐子、麂子、豪猪等野生动物死体进行加工、请人食用以及出售给他人。目前，涉嫌犯罪人员已被依法逮捕，该案正在进一步审理之中。四川观察的微博视频,2020/2/17 21:47,"评论
2399",吃野味的biss,死刑无期都可以,贩卖野生动物跟贩毒同罪,直接火化,？？？建议死刑吧谢谢,罚到倾家荡产[加油],这个时候还捕野味？？还没长教训吗？？？？,吃野味的要么管好你的嘴要么藏好你的妈,啊我还想到，有孩子的家长们可以适当教育一下你们的孩子要是遇到的话，要用智慧的解决举报。。。,只能说真的全国现在各地都还有吃野生动物的，不是武汉的事，这个问题不解决，一定还会有下一次。,这群人真该死,四川人大多数还是善良可爱的，我的同学有很多四川的，说话还特别有趣，请不要地域黑！,英雄不问出处 作死不挑坟墓,掏鸟窝十几年，杀这么多动物是不是死刑啊！！！！,这教训还不够么,还吃还吃还吃，准备好棺材了吗,建议直接枪毙,木里，超级漂亮的一个地方，请善待动物，与自然和平相处，感觉如今的一切都是自然界的报复,,
,,,,,,,,,,,,,,,,,,,,,,
